poll_notice_stage_id,feed_id,source_id,source_name,source_page_url,notice_url,link_text,detected_at,http_status,content_type,page_title,match_reason,candidate_level_values_extracted,review_decision,review_notes,triage_label,triage_reason,review_priority,suggested_metadata_scope,ready_for_canonical_metadata
poll_notice_stage_29ea84663ba13d63,feed_commission_sondages_notices,src_commission_sondages,Commission des sondages,https://www.commission-des-sondages.fr/notices/medias/fichiers/bytag/14/2027-Presidentielle,https://www.commission-des-sondages.fr/notices/medias/fichiers/add/1888,9914 Pres ELABE BFMTV 1er avril,2026-06-29T04:30:21Z,200,text/html; charset=UTF-8,"Commission des sondages (contrôle, interdiction, publication)",commission_notice_file_path|presidential_link_text|source_page_2027_presidentielle_tag,false,pending,Staged poll-notice discovery only. No candidate-level values extracted.,needs_manual_review,"Presidential-looking notice, but text is not specific enough for automatic classification.",medium,manual_review,review_required
poll_notice_stage_4fbb192bc871ea94,feed_commission_sondages_notices,src_commission_sondages,Commission des sondages,https://www.commission-des-sondages.fr/notices/medias/fichiers/bytag/14/2027-Presidentielle,https://www.commission-des-sondages.fr/notices/medias/fichiers/add/1889,9916 pres ELABE BFMTV Tribune dimanche 5 avril,2026-06-29T04:30:21Z,200,text/html; charset=UTF-8,"Commission des sondages (contrôle, interdiction, publication)",commission_notice_file_path|presidential_link_text|source_page_2027_presidentielle_tag,false,pending,Staged poll-notice discovery only. No candidate-level values extracted.,needs_manual_review,"Presidential-looking notice, but text is not specific enough for automatic classification.",medium,manual_review,review_required
poll_notice_stage_6962d5c5922f47db,feed_commission_sondages_notices,src_commission_sondages,Commission des sondages,https://www.commission-des-sondages.fr/notices/medias/fichiers/bytag/14/2027-Presidentielle,https://www.commission-des-sondages.fr/notices/medias/fichiers/add/1896,9920 Pres CommStrat L'Opinion Toluna HI 14 avril 2025,2026-06-29T04:30:21Z,200,text/html; charset=UTF-8,"Commission des sondages (contrôle, interdiction, publication)",commission_notice_file_path|presidential_link_text|source_page_2027_presidentielle_tag,false,pending,Staged poll-notice discovery only. No candidate-level values extracted.,needs_manual_review,"Presidential-looking notice, but text is not specific enough for automatic classification.",medium,manual_review,review_required
poll_notice_stage_12abeabafee0fd20,feed_commission_sondages_notices,src_commission_sondages,Commission des sondages,https://www.commission-des-sondages.fr/notices/medias/fichiers/bytag/14/2027-Presidentielle,https://www.commission-des-sondages.fr/notices/medias/fichiers/add/1901,9925 Pres Odoxa Public Senat 29 avril,2026-06-29T04:30:21Z,200,text/html; charset=UTF-8,"Commission des sondages (contrôle, interdiction, publication)",commission_notice_file_path|presidential_link_text|source_page_2027_presidentielle_tag,false,pending,Staged poll-notice discovery only. No candidate-level values extracted.,needs_manual_review,"Presidential-looking notice, but text is not specific enough for automatic classification.",medium,manual_review,review_required
poll_notice_stage_51456d2db2556e0b,feed_commission_sondages_notices,src_commission_sondages,Commission des sondages,https://www.commission-des-sondages.fr/notices/medias/fichiers/bytag/14/2027-Presidentielle,https://www.commission-des-sondages.fr/notices/medias/fichiers/add/1902,9926 Pres potentiel M. Hanouna IFOP valeurs actuelles 29 avril,2026-06-29T04:30:21Z,200,text/html; charset=UTF-8,"Commission des sondages (contrôle, interdiction, publication)",commission_notice_file_path|presidential_link_text|source_page_2027_presidentielle_tag,false,pending,Staged poll-notice discovery only. No candidate-level values extracted.,candidate_or_field_context_notice,"Visible notice text mentions candidates, party field, primary, RN, right/centre-right, or presidential field context.",medium,polling_context_or_metadata_candidate,review_required
poll_notice_stage_6670d2b8a2a0e346,feed_commission_sondages_notices,src_commission_sondages,Commission des sondages,https://www.commission-des-sondages.fr/notices/medias/fichiers/bytag/14/2027-Presidentielle,https://www.commission-des-sondages.fr/notices/medias/fichiers/add/1903,9927 Pres Toluna HI Regards 30 avril,2026-06-29T04:30:21Z,200,text/html; charset=UTF-8,"Commission des sondages (contrôle, interdiction, publication)",commission_notice_file_path|presidential_link_text|source_page_2027_presidentielle_tag,false,pending,Staged poll-notice discovery only. No candidate-level values extracted.,needs_manual_review,"Presidential-looking notice, but text is not specific enough for automatic classification.",medium,manual_review,review_required
poll_notice_stage_e4b0a16f04c4ec81,feed_commission_sondages_notices,src_commission_sondages,Commission des sondages,https://www.commission-des-sondages.fr/notices/medias/fichiers/bytag/14/2027-Presidentielle,https://www.commission-des-sondages.fr/notices/medias/fichiers/add/1905,9929 Pres Odoxa BackboneConsulting Le Figaro 2 mai,2026-06-29T04:30:21Z,200,text/html; charset=UTF-8,"Commission des sondages (contrôle, interdiction, publication)",commission_notice_file_path|presidential_link_text|source_page_2027_presidentielle_tag,false,pending,Staged poll-notice discovery only. No candidate-level values extracted.,needs_manual_review,"Presidential-looking notice, but text is not specific enough for automatic classification.",medium,manual_review,review_required
poll_notice_stage_c4c610e318021d70,feed_commission_sondages_notices,src_commission_sondages,Commission des sondages,https://www.commission-des-sondages.fr/notices/medias/fichiers/bytag/14/2027-Presidentielle,https://www.commission-des-sondages.fr/notices/medias/fichiers/add/1906,9930 Pres IFOP Hexagone 5 mai,2026-06-29T04:30:21Z,200,text/html; charset=UTF-8,"Commission des sondages (contrôle, interdiction, publication)",commission_notice_file_path|presidential_link_text|source_page_2027_presidentielle_tag,false,pending,Staged poll-notice discovery only. No candidate-level values extracted.,needs_manual_review,"Presidential-looking notice, but text is not specific enough for automatic classification.",medium,manual_review,review_required
poll_notice_stage_2b9deb261bcba37e,feed_commission_sondages_notices,src_commission_sondages,Commission des sondages,https://www.commission-des-sondages.fr/notices/medias/fichiers/bytag/14/2027-Presidentielle,https://www.commission-des-sondages.fr/notices/medias/fichiers/add/1911,9935 Pres barometre V2 Ifop Sud Radio Le Figaro 11 mai,2026-06-29T04:30:21Z,200,text/html; charset=UTF-8,"Commission des sondages (contrôle, interdiction, publication)",commission_notice_file_path|presidential_link_text|source_page_2027_presidentielle_tag,false,pending,Staged poll-notice discovery only. No candidate-level values extracted.,political_barometer_context_notice,"Visible notice text suggests political barometer, popularity, confidence, or public-opinion context rather than direct voting intention.",low,polling_context_only,false
poll_notice_stage_5f72baed3c172df8,feed_commission_sondages_notices,src_commission_sondages,Commission des sondages,https://www.commission-des-sondages.fr/notices/medias/fichiers/bytag/14/2027-Presidentielle,https://www.commission-des-sondages.fr/notices/medias/fichiers/add/1917,9942 Pres Toluna HI LCI 20 mai,2026-06-29T04:30:21Z,200,text/html; charset=UTF-8,"Commission des sondages (contrôle, interdiction, publication)",commission_notice_file_path|presidential_link_text|source_page_2027_presidentielle_tag,false,pending,Staged poll-notice discovery only. No candidate-level values extracted.,needs_manual_review,"Presidential-looking notice, but text is not specific enough for automatic classification.",medium,manual_review,review_required
